Column	Question
msoc_83rev	In the past 12 months, have you been evicted or forcibly removed from your home for any reason?
msoc_84rev	What kinds of health insurance or health care coverage do you have? (select all that apply)
msoc_insur_type	Which of the following types of medical insurance do you have? (select all that apply)
msoc_87rev	In the past 12 months, how often have you had a problem understanding what is being told to you about your health by medical professionals in a clinic or hospital?
msoc_91rev	In the past 12 months, have you needed to see a doctor, but weren't able to for any reason?
msoc_doc_why	Why couldn't you see a doctor when you needed to? (select all that apply)
msoc_doc_why_spec	Other_doc_why
msoc_25rev	How often did a parent or other adult in the household make you feel that you were loved, supported, and cared for?
msoc_27rev	How often did a parent or other adult in the household express physical affection for you, such as hugging, or other physical gestures of warmth and affection?
msoc_30rev	How often would you say there were fights, arguments, or yelling between your parents?
msoc_31rev	How often would you say there were fights, arguments, or yelling between one of your parents and you?
msoc_31rev_2	How often would you say there were fights, arguments, or yelling between one of your parents and one of your siblings?
msoc_31rev_3	How often would you say there were fights, arguments, or yelling between your siblings and you?
msoc_32rev	Would you say that the home you grew up in was well organized and managed?
msoc_33rev	As a child, did you live with someone who was a problem drinker or alcoholic, or used illegal drugs?
msoc_34rev	Would you say that you were neglected during your childhood, that you were left alone to fend for yourself?
msoc_hit	Has someone (including family members or friends) ever hit, pushed, or pulled your hair?
msoc_hit_period	In what period or periods of your life did this occur?
msoc_hit_relat	What relationship did you have with the person or persons who treated you this way?
msoc_hit_relat_s	If other, please specify
msoc_att	Has anyone (including family members or friends) ever attacked you using a gun, knife, or other weapon?
msoc_att_period	In what period or periods of your life did this occur?
msoc_att_relat	What relationship did you have with the person or persons who treated you this way?
msoc_att_relat_s	If other, please specify
msoc_humi	Has someone (including family members or friends) ever humiliated or made fun of you?
msoc_humi_period	In what period or periods of your life did this occur?
msoc_humi_relat	What relationship did you have with the person or persons who treated you this way?
msoc_humi_relat_s	If other, please specify
msoc_forb	Has someone (including family members or friends) ever forbid you from leaving your home or having visitors?
msoc_forb_period	In what period or periods of your life did this occur?
msoc_forb_relat	What relationship did you have with the person or persons who treated you this way?
msoc_forb_relat_s	If other, please specify
msoc_prov	Has someone (including family members or friends) ever stopped providing you with basic needs such as clothing, shoes, or medications that you need despite having the money to supply you with these needs?
msoc_prov_period	In what period or periods of your life did this occur?
msoc_prov_relat	What relationship did you have with the person or persons who treated you this way?
msoc_prov_relat_s	If other, please specify
msoc_mon	Has anyone (including family members or friends) ever handled your money without your consent?
msoc_mon_period	In what period or periods of your life did this occur?
msoc_mon_relat	What relationship did you have with the person or persons who treated you this way?
msoc_mon_relat_s	If other, please specify
msoc_prop	Has anyone (including family members or friends) ever pressured you to stop owning your home or other property?
msoc_prop_period	In what period or periods of your life did this occur?
msoc_prop_relat	What relationship did you have with the person or persons who treated you this way?
msoc_prop_relat_s	If other, please specify
msoc_deman	Has someone (including family members or friends) ever demanded sex, even if you didn't want to?
msoc_deman_period	In what period or periods of your life did this occur?
msoc_deman_relat	What relationship did you have with the person or persons who treated you this way?
msoc_deman_relat_s	If other, please specify
msoc_45rev_2	Have you suffered an act of political violence or repression?
msoc_45arev_2	When did this happen to you?
msoc_45rev_3	Has anyone ever assaulted you to steal or try to steal your personal belongings?
msoc_45arev_3	When did this happen to you?
msoc_45rev_4	Has anyone ever tried or managed to break into your home to steal from you?
msoc_45arev_4	When did this happen to you?
msoc_45rev_5	Have you ever experienced a "man-made" disaster such as a train crash, building collapse, bank robbery, fire, etc., where you felt you or your loved ones were in danger of death or injury?
msoc_45arev_5	When did this happen to you?
msoc_45rev_6	Have you ever been in any other situation in which you felt you might be killed or be seriously injured?
msoc_45arev_6	When did this happen to you?
msoc_45rev_7	Outside of work or professional situations, have you ever seen someone seriously injured or killed?
msoc_45arev_7	When did this happen to you?
msoc_45rev_8	Outside of work or professional situations, have you ever seen dead bodies (other than at a funeral) or had to handle dead bodies for any reason?
msoc_45arev_8	When did this happen to you?
msoc_52rev	Have there been times in your daily life when you were treated with less courtesy or respect than other people?
msoc_52revb	Have there been times in your daily life when you were treated with more courtesy or respect than other people?
msoc_52arev_2	When did this happen to you?
msoc_52a_1arev	From 0 to 10 years of age, how frequently were you treated this way?
msoc_52a_1brev	From 0 to 10 years of age, what do you think is the main reason for these experiences?
msoc_52a_1brev_s	If other, please specify
msoc_52a_2arev	From 11 to 24 years of age, how frequently were you treated this way?
msoc_52a_2brev	From 11 to 24 years of age, what do you think is the main reason for these experiences?
msoc_52a_2brev_s	If other, please specify
msoc_52a_3arev	From 25 to 34 years of age, how frequently were you treated this way?
msoc_52a_3brev	From 25 to 34 years of age, what do you think is the main reason for these experiences?
msoc_52a_3brev_s	If other, please specify
msoc_52a_4arev	From 35 to 45 years of age, how frequently were you treated this way?
msoc_52a_4brev	From 35 to 45 years of age, what do you think is the main reason for these experiences?
msoc_52a_4brev_s	If other, please specify
msoc_52a_5arev	From 46 to 65 years of age, how frequently were you treated this way?
msoc_52a_5brev	From 46 to 65 years of age, what do you think is the main reason for these experiences?
msoc_52a_5brev_s	If other, please specify
msoc_52a_6arev	From 66 to one year ago, how frequently were you treated this way?
msoc_52a_6brev	From 66 to one year ago, what do you think is the main reason for these experiences?
msoc_52a_6brev_s	If other, please specify
msoc_52a_7arev	Within the last 12 months, how frequently were you treated this way?
msoc_52a_7brev	Within the last 12 months, what do you think is the main reason for these experiences?
msoc_52a_7brev_s	If other, please specify
msoc_53rev	Have there been times in your daily life when you received worse service than other people in restaurants, markets, stores, or other similar establishments?
msoc_53revb	Have there been times in your daily life when you received better service than other people in restaurants, markets, stores, or other similar establishments?
msoc_53arev	When did this happen to you?
msoc_53a_1arev	From 0 to 10 years of age, how frequently were you treated this way?
msoc_53a_1brev	From 0 to 10 years of age, what do you think is the main reason for these experiences?
msoc_53a_1brev_s	If other, please specify
msoc_53a_2arev	From 11 to 24 years of age, how frequently were you treated this way?
msoc_53a_2brev	From 11 to 24 years of age, what do you think is the main reason for these experiences?
msoc_53a_2brev_s	If other, please specify
msoc_53a_3arev	From 25 to 34 years of age, how frequently were you treated this way?
msoc_53a_3brev	From 25 to 34 years of age, what do you think is the main reason for these experiences?
msoc_53a_3brev_s	If other, please specify
msoc_53a_4arev	From 35 to 45 years of age, how frequently were you treated this way?
msoc_53a_4brev	From 35 to 45 years of age, what do you think is the main reason for these experiences?
msoc_53a_4brev_s	If other, please specify
msoc_53a_5arev	From 46 to 65 years of age, how frequently were you treated this way?
msoc_53a_5brev	From 46 to 65 years of age, what do you think is the main reason for these experiences?
msoc_53a_5brev_s	If other, please specify
msoc_53a_6arev	From 66 to one year ago, how frequently were you treated this way?
msoc_53a_6brev	From 66 to one year ago, what do you think is the main reason for these experiences?
msoc_53a_6brev_s	If other, please specify
msoc_53a_7arev	Within the last 12 months, how frequently were you treated this way?
msoc_53a_7brev	Within the last 12 months, what do you think is the main reason for these experiences?
msoc_53a_7brev_s	If other, please specify
msoc_54rev	Have there been times in your everyday life when other people have acted as if they think you are less intelligent than other people?
msoc_54revb	Have there been times in your daily life when other people have acted as if they think you are more intelligent than other people?
msoc_54arev	When did this happen to you?
msoc_54a_1arev	From 0 to 10 years of age, how frequently were you treated this way?
msoc_54a_1brev	From 0 to 10 years of age, what do you think is the main reason for these experiences?
msoc_54a_1brev_s	If other, please specify
msoc_54a_2arev	From 11 to 24 years of age, how frequently were you treated this way?
msoc_54a_2brev	From 11 to 24 years of age, what do you think is the main reason for these experiences?
msoc_54a_2brev_s	If other, please specify
msoc_54a_3arev	From 25 to 34 years of age, how frequently were you treated this way?
msoc_54a_3brev	From 25 to 34 years of age, what do you think is the main reason for these experiences?
msoc_54a_3brev_s	If other, please specify
msoc_54a_4arev	From 35 to 45 years of age, how frequently were you treated this way?
msoc_54a_4brev	From 35 to 45 years of age, what do you think is the main reason for these experiences?
msoc_54a_4brev_s	If other, please specify
msoc_54a_5arev	From 46 to 65 years of age, how frequently were you treated this way?
msoc_54a_5brev	From 46 to 65 years of age, what do you think is the main reason for these experiences?
msoc_54a_5brev_s	If other, please specify
msoc_54a_6arev	From 66 to one year ago, how frequently were you treated this way?
msoc_54a_6brev	From 66 to one year ago, what do you think is the main reason for these experiences?
msoc_54a_6brev_s	If other, please specify
msoc_54a_7arev	Within the last 12 months, how frequently were you treated this way?
msoc_54a_7brev	Within the last 12 months, what do you think is the main reason for these experiences?
msoc_54a_7brev_s	If other, please specify
msoc_55rev	Have there been times in your daily life when other people acted as if they were afraid of you?
msoc_55arev	When did this happen to you?
msoc_55a_1arev	From 0 to 10 years of age, how frequently were you treated this way?
msoc_55a_1brev	From 0 to 10 years of age, what do you think is the main reason for these experiences?
msoc_55a_1brev_s	If other, please specify
msoc_55a_2arev	From 11 to 24 years of age, how frequently were you treated this way?
msoc_55a_2brev	From 11 to 24 years of age, what do you think is the main reason for these experiences?
msoc_55a_2brev_s	If other, please specify
msoc_55a_3arev	From 25 to 34 years of age, how frequently were you treated this way?
msoc_55a_3brev	From 25 to 34 years of age, what do you think is the main reason for these experiences?
msoc_55a_3brev_s	If other, please specify
msoc_55a_4arev	From 35 to 45 years of age, how frequently were you treated this way?
msoc_55a_4brev	From 35 to 45 years of age, what do you think is the main reason for these experiences?
msoc_55a_4brev_s	If other, please specify
msoc_55a_5arev	From 46 to 65 years of age, how frequently were you treated this way?
msoc_55a_5brev	From 46 to 65 years of age, what do you think is the main reason for these experiences?
msoc_55a_5brev_s	If other, please specify
msoc_55a_6arev	From 66 to one year ago, how frequently were you treated this way?
msoc_55a_6brev	From 66 to one year ago, what do you think is the main reason for these experiences?
msoc_55a_6brev_s	If other, please specify
msoc_55a_7arev	Within the last 12 months, how frequently were you treated this way?
msoc_55a_7brev	Within the last 12 months, what do you think is the main reason for these experiences?
msoc_55a_7brev_s	If other, please specify
msoc_56rev	Have there been times in your daily life when you have felt threatened or harassed by other people?
msoc_56arev	When did this happen to you?
msoc_56a_1arev	From 0 to 10 years of age, how frequently were you treated this way?
msoc_56a_1brev	From 0 to 10 years of age, what do you think is the main reason for these experiences?
msoc_56a_1brev_s	If other, please specify
msoc_56a_2arev	From 11 to 24 years of age, how frequently were you treated this way?
msoc_56a_2brev	From 11 to 24 years of age, what do you think is the main reason for these experiences?
msoc_56a_2brev_s	If other, please specify
msoc_56a_3arev	From 25 to 34 years of age, how frequently were you treated this way?
msoc_56a_3brev	From 25 to 34 years of age, what do you think is the main reason for these experiences?
msoc_56a_3brev_s	If other, please specify
msoc_56a_4arev	From 35 to 45 years of age, how frequently were you treated this way?
msoc_56a_4brev	From 35 to 45 years of age, what do you think is the main reason for these experiences?
msoc_56a_4brev_s	If other, please specify
msoc_56a_5arev	From 46 to 65 years of age, how frequently were you treated this way?
msoc_56a_5brev	From 46 to 65 years of age, what do you think is the main reason for these experiences?
msoc_56a_5brev_s	If other, please specify
msoc_56a_6arev	From 66 to one year ago, how frequently were you treated this way?
msoc_56a_6brev	From 66 to one year ago, what do you think is the main reason for these experiences?
msoc_56a_6brev_s	If other, please specify
msoc_56a_7arev	Within the last 12 months, how frequently were you treated this way?
msoc_56a_7brev	Within the last 12 months, what do you think is the main reason for these experiences?
msoc_56a_7brev_s	If other, please specify
msoc_102	Have you felt this kind of stress lately?
msoc_103	Have you felt this type of stress for several days, weeks, or months during other periods of your life?
msoc_104	From 0 to 10 years of age, approximately what was your level of stress?
msoc_105	From 11 to 24 years of age, approximately what was your level of stress?
msoc_106	From 25 to 34 years of age, approximately what was your level of stress?
msoc_107	From 35 to 45 years of age, approximately what was your level of stress?
msoc_108	From 46 to 65 years of age, approximately what was your level of stress?
msoc_109	From 66 to one year ago, approximately what was your level of stress?
msoc_contrib	Who contributed to answering these questions?
msoc_confid	The following question is for the study partner. On average, how confident are you that your answers to the questions in this survey accurately reflect the participant's experience?
msoc_contrib_ppt	How much did you (the participant) contribute to completing this survey?
msoc_time_endrev	Please record the time that the survey was completed
